,Logistic classify L2,MIC,Corr.,RF,Stability,Logistic classify L1,RFE,Mean
splt_14_4,0.01,0,0,0,0,0,0.32,0.05
splt_14_5,0.02,0.01,0,0,0,0.01,0.33,0.05
splt_14_6,0.01,0,0,0,0,0,0.42,0.06
splt_14_7,0,0,0,0,0,0,0.37,0.05
splt_14_8,0,0,0,0,0,0,0.43,0.06
splt_14_9,0,0,0,0,0,0,0.29,0.04
splt_15_0,0.05,0,0,0,0.01,0.02,0.46,0.08
splt_15_1,0.02,0,0,0,0,0,0.46,0.07
splt_15_10,0.01,0,0,0,0,0,0.46,0.07
splt_15_11,0,0,0,0,0,0,0.38,0.05
splt_15_12,0,0,0,0,0,0,0.04,0.01
splt_15_13,0,0,0,0,0,0,0.47,0.07
splt_15_14,0,0,0,0,0,0,0.39,0.06
splt_15_15,0,0,0,0,0,0,0.39,0.06
splt_15_16,0,0,0,0,0,0,0.27,0.04
splt_15_17,0,0,,0,0,0,0.36,
